Composite.Element.REF	TCGA-ND-A4WA-01	TCGA-NG-A4VU-01	TCGA-NG-A4VW-01	TCGA-QN-A5NN-01	TCGA-N8-A4PI-01	TCGA-N8-A4PL-01	TCGA-N8-A4PQ-01	TCGA-N8-A56S-01	TCGA-N8-A4PO-01	TCGA-N8-A4PN-01	TCGA-N8-A4PM-01	TCGA-N8-A4PP-01	TCGA-N5-A4RV-01	TCGA-NA-A4QW-01	TCGA-NA-A4R1-01	TCGA-NA-A4QX-01	TCGA-N7-A59B-01	TCGA-N7-A4Y8-01	TCGA-N7-A4Y5-01	TCGA-N5-A4R8-01	TCGA-N5-A4RA-01	TCGA-N5-A4RD-01	TCGA-N5-A4RJ-01	TCGA-N5-A4RM-01	TCGA-N5-A4RN-01	TCGA-N5-A4RO-01	TCGA-N5-A4RS-01	TCGA-N5-A4RT-01	TCGA-N5-A59E-01	TCGA-N5-A59F-01	TCGA-N6-A4VD-01	TCGA-N6-A4VC-01	TCGA-N6-A4VE-01	TCGA-N6-A4V9-01	TCGA-NF-A4X2-01	TCGA-NF-A5CP-01	TCGA-N9-A4Q7-01	TCGA-N9-A4Q3-01	TCGA-N9-A4Q1-01	TCGA-N9-A4PZ-01	TCGA-NA-A4R0-01	TCGA-NA-A4QY-01	TCGA-NA-A4QV-01	TCGA-ND-A4WC-01	TCGA-ND-A4WF-01	TCGA-ND-A4W6-01	TCGA-N7-A4Y0-01	TCGA-N9-A4Q4-01
DVL3|Dvl3	-0.1548	0.3435	-2.8756	1.3696	0.7075	1.5156	0.1355	-0.3461	0.4068	0.659	-0.6655	0.3514	0.6818	-0.5943	-1.2319	1.081	0.3655	1.3592	2.1652	0.2889	0.6894	0.8861	0.2911	-0.1028	0.7773	-0.1361	-1.364	1.718	0.8539	-0.0061	-0.9827	-0.5091	-0.3613	0.2904	0.2225	-0.3216	-0.8394	-1.4688	0.1735	-1.3297	1.514	-1.1149	-1.14	-0.7374	0.1462	-0.3854	-1.9781	-0.3473
CDH1|E-Cadherin	0.2643	-0.3979	-1.1373	-1.2506	-0.5803	-0.2724	-0.0642	0.8237	0.6565	-0.151	1.6019	-1.4037	-1.1832	1.2689	0.4253	-0.3974	1.4555	-1.4861	-0.4999	-0.5445	-1.4154	-1.0331	0.5615	0.6225	-0.1984	0.7076	1.0689	1.4412	1.1612	-0.1562	1.2801	1.3524	1.5837	1.0157	-1.3914	1.0493	-1.2073	1.0732	-0.0879	-0.4383	1.0174	-1.0728	-0.3892	0.8029	-1.2318	-1.4059	-1.5036	-0.334
EEF2|eEF2	-0.2002	3.1486	-2.1333	0.5178	2.4786	0.939	-0.8233	-0.7618	-1.4327	-0.7908	-0.462	1.1152	0.0699	-0.3467	0.4577	-0.4779	-0.1115	0.7476	1.4465	-0.1261	0.3977	-0.3098	-1.1308	0.3361	-0.1092	0.1357	0.9514	0.1583	-0.0773	-0.0945	0.4961	0.5512	-1.43	-0.7737	1.2728	-0.8357	0.0541	-0.1101	-0.7396	-2.7456	0.362	-0.1655	-0.675	0.6269	0.1728	-0.1051	0.5336	-0.0014
EEF2K|eEF2K	0.8187	1.7874	-1.0886	1.8555	-1.2521	0.2128	-1.3219	1.4651	-0.4467	0.2443	1.1946	-1.5717	-0.6719	1.9051	-0.5089	0.3474	-0.1023	-0.5267	1.4145	-0.5796	1.0374	0.6419	0.9558	0.3729	-0.2862	0.1977	0.4252	1.5471	0.6997	-0.4252	-0.7718	-0.1031	-0.7382	-1.1469	0.5158	-0.8513	0.9923	-0.0528	-0.0927	-0.8861	-1.2192	-2.3466	-0.2966	-0.4202	0.5631	0.7283	-0.3811	-1.834
EGFR|EGFR	-0.7197	-0.4131	-1.3057	0.9619	0.819	-0.1919	-0.9816	-0.466	0.7549	-1.0507	-0.4802	-0.2042	1.5143	-1.176	-1.0687	-0.9619	-0.2586	-1.2454	0.2086	-0.0361	-0.3938	-1.047	0.2563	1.0313	-1.1481	1.2471	0.048	0.5823	1.0711	-0.7025	-0.8864	-1.0687	-0.3819	3.1216	0.0948	-0.2761	-0.7548	-0.2947	0.0383	1.3821	-0.1351	1.7475	0.2654	-0.2874	2.5185	1.1237	0.095	-0.9456
EGFR|EGFR_pY1068	0.9904	0.0355	0.5061	-0.2362	-1.4442	-0.3139	-0.6489	0.5351	-0.1822	0.6051	-0.2466	-0.5564	0.5235	-0.4875	-0.4584	-0.3988	0.4104	-0.3458	-0.4587	0.7495	-0.4429	-0.5269	-0.779	0.6284	-0.6458	0.2129	-0.6988	-0.4497	-0.0474	-0.8292	-0.3787	0.5894	0.5234	4.2661	-0.467	0.1025	-0.5964	-0.9197	-0.1136	0.9446	-2.6925	1.3838	0.4	0.9523	2.2026	0.0835	-1.1768	-0.1035
EGFR|EGFR_pY1173	-0.8485	-0.2153	2.5785	0.5544	0.8089	0.4131	0.6004	-0.4738	-0.3576	0.4496	-0.5614	-0.2533	-0.1749	-0.1592	0.4698	-0.693	-0.7961	-0.242	-0.4517	-0.3179	0.1871	-0.7548	-0.4803	-0.044	0.1752	-0.2529	-0.0155	-0.7058	0.4258	-0.1614	-1.0271	-0.3426	-0.3602	-0.2359	-0.264	-1.0909	-0.9178	-0.863	0.9428	5.0396	-0.0981	-0.4624	0.8754	-1.1172	0.017	-0.2378	1.4071	0.0317
EIF4E|eIF4E	-0.1963	-0.1641	3.4125	0.3064	1.8577	0.8312	-1.3299	-1.2009	-1.3587	-0.3268	1.0619	0.7253	-0.1032	-0.5872	1.5296	-0.0423	-0.3739	0.3682	0.3257	0.2789	0.1172	-0.5922	-1.3225	0.9479	-0.5102	-0.336	-1.8801	-0.4292	-0.5977	-0.4257	1.4189	-0.4416	0.6344	0.3017	-1.812	0.5771	0.1382	0.1461	-1.5425	-0.9867	1.6597	0.0044	0.2855	0.3138	0.3129	-0.1299	0.3741	-1.2396
ESR1|ER-alpha	1.0242	-0.4949	0.1762	-0.4592	-0.1494	-0.6823	1.2189	-0.3911	2.1316	-0.7578	2.2778	-0.721	-0.7588	0.0167	-0.2819	-0.7244	2.4636	-0.9883	-0.9925	-0.6577	-0.5806	-0.8117	-0.8306	-0.5933	-0.0049	1.9423	-0.6661	-0.6697	-0.7126	-0.2349	2.2268	-0.2396	-0.1942	-0.8444	-0.8744	1.9445	0.386	1.2033	0.4009	0.6969	-1.478	-0.568	0.3629	0.6809	-0.5427	-0.1296	-0.5049	-0.6141
ESR1|ER-alpha_pS118	1.3634	0.4044	0.8203	-0.2081	-0.2671	1.297	-1.4487	-0.1313	-0.4597	-0.308	0.9302	-0.9297	0.2876	-1.2518	0.6726	-0.9771	0.9614	0.8724	0.5696	0.0088	-0.2619	-0.0328	-0.0166	1.7809	1.0299	0.1142	0.7713	0.1868	0.4647	-0.0189	-2.0233	0.828	-0.6199	-1.6823	0.4775	-0.9378	0.028	-0.2114	0.7075	2.4428	-2.306	-0.3379	-1.4111	-1.7166	0.431	-0.3514	-0.9387	1.3977
MAPK1|ERK2	-0.8367	0.3734	0.5291	1.1547	2.1464	-0.6185	-0.2443	-0.7401	0.1282	-0.4745	-0.3546	0.74	0.6384	-0.3602	0.1352	-0.792	-0.5551	-1.4847	0.4851	-0.1012	0.7805	-1.0422	1.4654	2.0532	-0.3603	0.335	0.9077	1.0253	-0.5494	0.4322	0.8543	-1.0723	-1.116	-1.7051	0.4505	0.3282	0.2502	-1.1394	-0.3003	-3.1924	1.6645	0.4334	1.1678	-0.0742	0.2089	0.3104	-0.625	-1.2596
FN1|Fibronectin	1.3603	-1.5463	2.1671	0.5792	0.1787	1.1	-0.616	-1.0543	-0.0017	-0.3659	-1.0447	-1.0484	2.0356	-0.3658	0.1186	-0.2935	-1.665	-0.6987	0.1137	-0.6758	-0.2131	-1.3443	0.824	-0.7674	-0.1446	0.6591	-0.0075	-0.4066	0.0707	-0.4084	-0.5956	-0.0722	-0.0378	0.6764	0.4404	-0.9199	-1.0222	-1.6068	-0.1518	2.9601	1.9398	0.2126	0.2857	0.9121	0.7083	-0.7336	1.1011	-0.6353
FOXO3|FOXO3a	1.4635	-1.1722	2.0254	0.4266	0.8198	0.2044	-0.1926	-0.1561	0.2028	-0.2498	0.1443	-0.2236	0.9608	-0.6721	-0.0013	-0.277	0.2212	0.1138	-0.2854	-0.117	-0.1681	0.0419	-0.3991	-0.2021	0.1717	0.0301	0.1042	-0.0435	-0.0816	-0.1564	0.071	0.9835	0.1133	-0.3443	0.2448	0.3615	0.155	-0.3893	0.3426	1.8263	-5.5989	0.277	0.2585	-0.0086	-0.7441	0.4476	-0.1437	-0.3847
GAB2|GAB2	0.0395	1.0865	-2.0943	-0.7652	-0.8031	0.0669	0.9711	0.0247	-0.7065	1.1686	-0.0204	0.0677	3.3422	0.5533	-1.4903	2.383	0.1327	-1.0924	1.7245	0.1944	-0.4882	-0.6369	0.0255	-0.6001	-0.6192	-0.3213	0.4428	-0.6901	-1.7587	0.6707	-0.9064	0.3914	-0.6901	-0.1258	-1.0235	0.1263	0.1949	-0.2468	-0.268	2.1283	0.4731	-0.2916	-0.4289	-0.9652	0.4604	0.4276	-0.1449	0.0824
GATA3|GATA3	0.8418	-0.9807	-1.2879	-0.0365	0.2716	0.2997	-0.419	0.0396	-0.1398	-0.5369	0.6559	-0.243	1.6166	-0.7645	-0.2079	-0.6449	0.2668	-0.1127	-0.7098	0.244	-0.4803	-0.0206	-0.8974	-0.2926	-0.6085	0.341	1.8497	-0.1028	0.0646	-0.2632	-0.6852	3.4164	0.1683	-0.7248	-0.5027	0.3337	1.2742	1.5564	-0.3256	0.5487	-3.5753	-0.0368	-0.598	0.1378	1.4654	0.7397	-0.0736	-0.8609
GSK3A GSK3B|GSK3-alpha-beta	0.4221	-0.5498	-0.4414	-0.1625	0.6399	0.83	-0.56	-0.3035	0.2008	-0.2936	1.1504	-0.0479	1.1394	-1.2369	1.7278	0.2278	0.6327	1.8013	1.5401	-0.6806	-0.7479	0.416	-1.3445	1.1046	0.4363	0.4432	1.1538	0.5217	-0.3375	0.0403	0.6731	0.59	0.5481	-0.1737	1.3917	0.2012	-0.6661	-0.4615	-0.6757	-4.0604	0.1251	-0.6892	-1.0052	-1.0655	-0.6851	-1.3743	-0.6151	0.2208
GSK3A GSK3B|GSK3-alpha-beta_pS21_S9	-1.1401	1.2351	-0.7116	0.6496	-2.4149	-1.1142	0.5289	0.094	-1.3217	0.5132	-0.4296	-1.0651	-1.3367	1.0059	0.9228	1.3758	0.0922	1.0358	0.6566	0.416	0.5605	1.1064	-0.1014	0.8656	-1.4062	-2.2976	-1.8605	-0.0842	0.2492	0.7939	1.3878	-1.6055	0.7786	1.0448	1.6358	0.7455	-0.1871	-0.2199	-1.1106	0.0471	1.1538	0.3084	0.0606	-0.0675	-0.166	-0.4161	-0.4219	0.2147
ERBB2|HER2	1.4385	0.9491	-3.3145	-0.069	-0.9783	0.5759	0.181	-0.3913	-0.801	0.5563	1.0145	-0.5102	-0.5081	0.6401	-0.9415	-0.458	2.8533	-0.7204	-0.1587	-0.3751	0.4912	-0.3322	0.3809	-1.0895	0.0615	-0.3646	0.0111	1.5374	0.1443	0.2203	-0.8429	1.6778	0.2862	-0.2579	-0.7702	0.1482	-1.0645	-0.183	-0.4478	-1.2207	0.5901	0.211	-0.4713	0.0268	-0.7078	0.2288	2.6757	0.0787
ERBB2|HER2_pY1248	1.8378	-0.664	0.8443	0.1747	-0.7858	0.5612	1.0859	-0.3593	-1.0593	0.9189	0.8265	-0.4836	-0.9614	0.5087	-1.1511	-0.9683	3.211	-1.0119	-0.7979	-0.4762	0.7219	-0.9598	-0.0189	-1.3759	0.0637	0.1416	-0.8747	0.8882	0.1376	-0.0968	-1.3158	1.9614	-0.1496	0.6236	-0.8891	-0.5305	-1.2664	-0.9679	0.142	2.5749	-0.5581	0.7061	0.1565	0.271	-0.3008	0.2989	-0.6229	-0.0103
ERBB3|HER3	-0.7809	-0.4247	2.5098	-1.4178	2.6123	0.6692	-0.5875	-0.9091	0.3197	0.4735	2.3873	-1.2455	0.3023	1.371	-1.2348	0.6626	0.7589	-0.5229	0.4601	0.6754	0.7289	-0.056	-0.2863	0.0486	0.1007	-0.9062	1.0364	0.3053	-0.7436	-0.8577	-1.4382	0.1292	0.0992	1.1042	-1.5662	-1.0415	0.3727	0.279	0.2067	0.5174	-1.3485	-0.969	-1.1255	-0.0309	-0.7053	-0.1024	-0.808	0.9782
ERBB3|HER3_pY1298	-0.2779	-0.5725	1.8632	0.6116	2.2737	0.3026	0.1717	-0.2092	0.4176	-0.2779	0.4025	1.0522	-1.2559	-0.9373	0.2183	-2.0323	-0.3676	1.3558	-1.8162	0.2748	-1.0416	-0.6684	0.3788	-0.0888	1.5928	-0.4082	0.5283	1.0771	0.0316	-0.2048	-0.8675	-0.7051	-0.2655	-0.005	1.457	-0.0376	-0.3554	-1.5313	-0.8526	2.6366	1.3399	-0.7629	0.5936	-0.7673	-0.8398	-0.6617	0.2038	-0.973
HSPA1A|HSP70	-0.4823	-1.0585	2.4135	0.4298	0.2029	0.3324	0.5818	-0.3302	0.0598	0.9741	-0.4651	0.9188	-0.1915	-0.3279	0.4515	-0.902	-1.4649	-1.0543	-1.2582	-0.2229	1.2269	-0.4142	0.6864	-0.7287	-0.127	0.8515	-0.7641	-1.6697	0.6069	-0.0983	-0.6493	-0.7486	-0.4032	-0.4197	-0.9551	-1.1632	-0.7871	-1.335	0.9486	2.0859	-0.3482	0.1834	1.7171	-1.228	1.7116	2.304	0.8429	0.0673
IGFBP2|IGFBP2	-0.8906	-0.6285	0.5147	0.6781	0.7067	0.8002	-1.2861	-0.878	0.1162	-0.6519	-0.3632	-1.3975	1.3098	-1.2887	0.045	0.7035	0.8509	0.994	-1.1847	0.029	1.3026	0.6114	-0.6426	-0.2557	-0.122	0.2984	1.2418	0.4984	0.0715	-0.4464	-0.5456	0.8363	-0.3586	2.0103	-1.1988	0.7208	-2.2157	-0.2874	-0.6063	2.8241	0.4736	-0.3483	0.1535	-0.8735	1.239	-1.8535	-1.2338	0.5274
INPP4B|INPP4B	1.099	0.9643	0.4688	0.4189	1.7715	-0.3542	-0.3477	-0.6083	0.4732	-0.005	0.0254	-0.0155	0.6088	-0.3902	-0.7203	0.9522	1.4257	0.2782	0.7143	-0.0367	-0.7233	0.135	-0.6716	0.5514	-0.2561	-0.1951	-1.1892	-0.3399	0.3311	-0.23	-0.0848	1.2223	-0.8133	-0.3038	-0.2768	0.6031	0.3838	-0.6188	-0.286	1.6558	-4.9356	0.38	0.3869	0.5122	-0.6875	0.646	-1.2148	-0.7034
IRS1|IRS1	1.4918	-0.2711	1.4573	1.2343	0.1924	0.7336	0.8066	0.0783	0.0049	-0.3749	-0.4279	-1.1684	-0.9778	-0.1572	-1.101	0.6081	-1.1009	-1.2452	-0.3909	-0.493	1.3221	0.3959	0.3221	-0.5428	-0.4419	-0.4032	0.278	-1.0135	-0.1451	-0.5547	-1.3671	-0.9374	0.2534	2.4971	-0.8592	-1.2059	-0.24	-0.6659	0.6321	3.6936	0.5731	-0.694	0.8455	-0.3132	-1.1587	0.5749	0.4485	-0.1926
MAPK8|JNK_pT183_Y185	0.0699	-0.8399	2.3687	0.3345	0.1827	-0.2239	-0.2	0.1595	-0.0465	1.0289	0.0969	-0.464	-0.108	1.0074	0.6896	0.2035	0.9165	0.0973	-0.952	-0.0319	1.3338	-0.9144	-0.0368	-0.332	0.0942	1.612	-1.0683	-0.0919	0.1098	-0.9916	-0.3059	0.0713	0.2224	0.1081	-0.3707	-0.5831	0.87	-0.457	-0.4292	2.7914	-3.9689	1.2338	0.1878	-0.6665	-0.6178	-0.3563	-0.8047	-0.929
MAPK9|JNK2	0.4856	1.1711	-3.4146	1.3291	1.8527	0.3894	0.7038	0.5329	0.0208	0.1113	-1.072	-0.1347	0.4241	0.5084	1.8702	0.458	0.2789	-1.1626	-0.1471	-0.131	-0.7062	-0.1652	1.6336	0.5317	-0.4492	-0.4743	-0.6617	-0.708	-1.5781	-0.6639	1.2448	0.6227	0.2658	0.5356	-0.6721	0.2814	0.1577	-0.1975	-1.0917	-2.1162	0.4218	0.7805	0.0965	-0.3754	1.3532	-0.2666	-0.2728	-1.6003
XRCC5|Ku80	0.919	-0.0573	-3.9467	0.1802	-0.0346	0.5209	0.118	1.4173	-0.1349	0.2594	0.2329	-0.1185	0.4647	0.0089	1.2808	-0.7065	-0.1235	0.7913	0.7117	1.0681	0.1088	-0.0984	0.3877	-0.2024	0.7704	0.4837	-0.4659	-0.4522	0.3293	0.7149	-1.0536	1.9586	-0.498	-0.9015	-0.7116	-0.3689	0.7874	1.0456	0.3909	-3.3151	-0.1649	-0.4732	-0.7237	0.846	-0.2799	0.4857	-0.6705	-0.7803
LCK|Lck	-1.6402	-0.5865	1.6018	0.3373	-0.589	-0.5333	0.5156	-0.6695	0.328	-0.5108	0.8984	1.4511	-2.088	-0.2827	-0.1847	-0.4309	0.8306	-1.2367	-0.8869	-0.1912	0.2952	-1.2934	-0.1548	-1.023	-0.3016	-0.1787	1.088	-0.5471	-0.7396	2.1938	0.9957	-0.1707	-0.5569	-0.3187	-1.7652	1.2463	2.6575	-0.7082	-0.3417	0.1988	1.1546	0.5359	1.3222	-0.4214	0.4657	0.4034	1.011	-1.1798
STK11|LKB1	-0.0961	-0.6005	4.153	-0.1581	0.6552	-0.1355	0.3287	-0.4052	-0.0401	-0.2428	-0.0935	0.2674	-0.0739	0.3494	-0.0066	-0.952	-0.5302	-1.0683	0.4733	-0.661	0.8256	-0.8556	-0.4915	-0.2619	-0.0227	0.1102	-0.6631	-1.1516	0.0689	-0.2548	0.5697	-0.4373	-0.4901	-0.7873	-0.4278	-0.8873	-0.1688	-1.1235	0.8073	3.8127	-0.0961	-0.6667	1.0973	-0.7556	0.3518	0.96	0.4715	-0.6971
MAPK1 MAPK3|MAPK_pT202_Y204	-0.578	0.0299	2.4223	0.3304	-0.1994	-0.2271	-0.959	-0.685	0.8262	1.3586	0.4764	-0.6678	-0.8536	0.5359	-0.4514	-0.7303	1.4996	-0.9645	-0.9149	-1.2415	0.945	-0.9268	-0.7441	-0.3723	-1.1707	-0.0005	-1.1275	-0.3554	-0.3921	-0.8414	0.1814	0.0329	-0.4334	3.4371	-0.5833	0.2807	0.0217	1.0205	-0.6582	1.6574	2.1039	0.2457	0.8765	0.0743	-0.984	-0.1061	-0.5844	-0.6036
MAP2K1|MEK1	-0.3813	1.0012	0.0107	0.4664	1.3369	-0.0226	0.5007	0.5089	-0.1045	-0.0423	-1.7472	0.9728	0.2491	-0.1656	1.7019	1.3425	-1.3453	0.1474	1.9298	0.9777	1.4501	-0.496	-0.1782	0.0874	-0.216	-0.4965	-2.9117	-0.7903	-1.6099	-0.193	-0.1439	-1.2164	-0.7972	0.7083	-1.345	0.3149	-0.1564	-1.7259	-1.1833	-0.2196	-0.1081	-0.6298	1.2392	-0.0824	1.247	0.7279	0.1381	1.2495
MAP2K1|MEK1_pS217_S221	-0.8622	-1.2288	3.413	0.6827	0.2749	-0.2428	0.3016	-0.4408	-0.175	0.5042	-0.2758	-0.2574	-0.4513	-0.3864	0.9537	-0.9277	-0.7161	-0.9954	-0.845	-0.742	1.8518	-1.0565	-0.5324	-0.7233	0.0027	0.3329	-0.1531	-0.6236	0.2879	-0.5619	-0.6051	-0.3911	-0.5708	1.2787	-0.022	-1.0046	-0.0921	0.1383	0.85	3.8477	0.6717	-0.6817	0.9474	-0.5763	-0.2809	0.1417	0.3766	-0.4348
ERRFI1|MIG-6	-0.3584	-0.6486	1.583	-0.319	0.2736	0.9847	-0.6751	-0.4099	-0.2382	-0.7649	-0.2646	-0.1869	0.6623	-0.1418	0.4967	-0.9471	-0.4013	-0.3743	-0.4523	-0.5254	-0.3833	-0.6607	-0.7894	-0.5068	0.1984	0.5508	-0.0588	-0.3696	-0.8115	0.4442	-0.2649	0.8098	-0.1194	0.7152	-0.1902	-0.4884	-0.0862	-0.5629	-0.4139	5.4051	0.0154	0.2019	0.5254	-0.0597	-0.2962	-0.6551	1.8621	-1.3037
MRE11A|Mre11	-0.3701	-1.3801	3.2775	0.4996	0.5859	0.0497	0.6422	-0.0043	-0.0724	0.1032	-0.1896	-0.2432	-0.4013	-0.3252	0.5222	-1.0568	-0.7026	-0.5321	-0.7453	-0.5134	0.783	-0.7327	-0.3252	-0.5139	0.4926	-0.2236	-0.4603	-0.6523	0.2424	-0.3814	-0.4485	-0.3784	-0.3468	-0.5622	-0.3714	-0.5071	-0.0419	-0.9415	1.2763	4.5579	-0.9273	-0.1113	1.2056	-0.6334	-0.1171	0.7192	0.593	-0.3374
MTOR|mTOR	0.7765	0.7409	-4.0603	0.118	0.4152	0.5338	-0.5372	1.1071	0.0621	0.2602	0.2587	-0.5199	0.3881	0.2407	0.1588	-0.2887	0.3636	1.5555	1.2613	0.6955	-1.3545	0.3683	0.0835	1.9045	0.444	-0.3102	0.247	0.3328	-0.2197	-0.395	-0.1638	0.1547	-0.554	-0.9702	-0.0516	0.465	0.7739	0.4608	0.4117	-2.6014	1.071	-0.0341	-0.7109	0.1898	0.6728	-0.6787	-1.8352	-1.2302
MTOR|mTOR_pS2448	-0.5472	1.741	-1.4032	-0.2651	-2.9916	-1.1117	-0.5987	0.1262	0.2613	0.6646	-1.5456	-0.4805	-0.8452	1.9306	0.0023	0.8155	0.8394	-0.6561	1.355	-0.0756	-0.2838	0.765	1.0311	1.0608	-0.6698	-0.6264	-1.6561	1.0862	0.9586	-0.676	0.3867	0.2422	0.2489	0.2293	0.2733	1.2163	0.4169	1.0437	0.0855	-1.544	1.2399	0.0772	-0.0952	0.5627	-0.2735	0.4033	-1.8751	-0.8427
CDH2|N-Cadherin	-0.7459	0.0457	2.4649	0.1289	0.9849	-0.1055	-0.0622	-0.4302	0.048	0.2489	-0.6273	0.7858	-0.4722	-0.9361	-0.016	-0.9067	-1.1633	0.0086	-1.1996	-0.5121	0.8908	0.0815	0.2706	-0.6117	0.7895	0.3627	0.3618	-0.7037	0.316	-0.6054	-1.2979	-0.3505	-0.381	-1.1894	-0.1064	-0.6784	-0.1828	-1.0725	1.376	4.4461	-1.43	-0.2357	0.6785	0.046	1.058	0.7385	0.1852	-0.2942
NFKB1|NF-kB-p65_pS536	-1.4101	0.3735	0.4432	0.506	-1.2507	-0.9742	0.3989	1.3966	-0.6269	1.281	-1.056	0.1457	-1.4292	1.901	-0.0555	3.1216	0.6333	0.8667	-0.9486	-0.8	0.3788	-1.5861	-0.3261	0.5748	-0.1216	-1.277	-1.5442	0.0784	0.399	0.1724	-1.2278	-1.2061	0.5144	-0.689	0.5526	0.4638	0.892	0.1109	-0.0407	1.7195	0.21	0.2934	0.272	1.0496	-0.729	0.5679	-1.1218	-0.8961
NF2|NF2	0.2582	1.3945	-1.9825	1.5908	0.2127	-1.1012	0.0266	-1.1505	0.2628	-0.349	-1.2169	0.8491	-0.1149	0.6538	0.5295	-2.3272	1.7452	-1.4115	-0.4494	0.3009	-0.4229	-0.8051	1.0702	1.9359	0.5422	-0.2231	-0.164	0.1361	-0.1358	1.2766	0.9331	0.0502	-0.6405	-1.4901	0.5664	-0.3401	0.4339	0.0886	-0.5554	-1.4294	1.7148	0.296	0.9021	0.0248	0.9557	-1.1953	0.3463	-1.5922
NOTCH1|Notch1	0.2028	-0.1466	0.2492	0.3853	-0.0278	2.651	-0.8757	0.1331	0.5101	-0.2173	0.2592	-1.23	-1.8171	-0.9042	-1.5713	1.6628	-1.2431	-0.8168	1.6346	-1.6531	2.3867	0.2651	-1.1295	0.3116	0.6845	1.0	0.4624	-0.6835	-0.4178	0.3758	-1.1712	0.1047	0.1036	-0.5287	0.3815	0.4195	-0.1596	-1.3819	0.0548	2.0962	-1.2129	0.3501	-0.4645	-0.0458	0.1899	0.3321	0.9687	-0.4771
CDH3|P-Cadherin	1.5352	-0.933	0.1356	0.497	0.6342	0.2958	-0.747	0.006	-0.1411	-0.0648	-0.0193	-0.3902	0.5766	-0.8759	1.7698	-0.6699	1.9479	-0.0232	-0.8058	-0.0625	-0.8281	-0.5462	-0.233	-1.2433	-0.4431	-1.124	1.3618	1.3337	-0.1459	-1.0239	0.1363	1.5628	0.5235	0.4481	-0.6538	1.0152	-0.5436	0.9948	0.3857	0.8406	-3.9923	0.7269	-0.6681	-0.3101	0.2926	0.1923	-1.2218	0.4977
CDKN1B|p27	0.8302	-0.6415	1.3438	-0.5069	0.708	0.418	-1.2234	-0.7568	2.3458	-1.054	-0.046	-0.1903	0.8995	-0.6064	0.2509	-0.6004	1.3989	-0.9471	-0.266	0.7818	-0.6607	-1.0281	-1.2605	1.7059	2.6964	-0.2493	0.0358	-0.8061	0.049	-1.1575	0.8967	-0.1607	1.5748	-1.069	0.189	-0.06	0.9663	-1.0467	0.9323	1.2534	-0.1953	-1.4724	0.3271	-1.1995	-0.2855	-0.0636	-0.8207	-1.2293
CDKN1B|p27_pT157	-0.723	-0.6927	2.5348	-0.0081	0.3713	0.6262	-0.6116	-1.5152	-0.5227	-0.2607	-0.9302	0.6312	-0.2412	-1.2297	0.8138	-0.9445	-1.0086	0.5182	-0.5155	-0.7524	0.3085	-0.6791	-0.1737	0.8352	1.1177	-0.3619	0.4879	-0.6768	2.4819	0.2181	-1.3276	-0.15	-0.3163	-0.9168	0.8051	-1.0359	-0.1375	-0.607	0.5304	3.7435	0.2473	-0.1135	-0.1908	-0.808	0.2387	-0.3716	0.5913	0.7215
MAPK14|p38_MAPK	-0.1074	-0.6934	2.0014	0.2408	-0.0206	-0.8962	-0.4632	0.4442	0.1156	0.7035	-1.6398	0.4682	0.4612	0.171	0.6939	-0.7017	-0.394	0.8247	-0.9139	-0.5545	0.0388	-0.0961	-0.082	0.2243	1.51	-0.3521	-2.4487	0.6598	1.2596	-0.3232	0.275	0.3664	0.9262	-0.3925	0.3026	-0.4066	0.8609	0.6568	0.6212	-4.0092	1.2436	-0.3286	1.8064	-0.4518	-0.2214	-0.7078	-0.4261	-0.245
MAPK14|p38_pT180_Y182	-0.3767	-0.3864	1.5572	0.1666	-1.782	-2.0372	-0.8852	0.6795	-0.5848	0.5323	-1.4656	-0.4578	-0.8503	1.1626	0.1331	0.5051	0.3934	0.4903	-1.1184	0.7782	0.8594	-0.0162	0.1687	-0.0595	-1.1467	-0.6632	-2.1332	1.0023	1.2836	-0.4578	0.6113	-0.6007	1.3795	1.2099	0.086	0.1357	1.2478	0.8871	-1.0939	-0.8922	2.5151	0.4507	1.4306	-0.0606	-0.7795	-0.491	-1.107	-0.2203
TP53|p53	-0.7855	0.027	-0.0236	1.5556	-0.6925	0.8912	1.1	-1.0699	0.5514	-0.3056	-1.4711	1.1848	-0.4127	0.3655	-0.2497	-1.4603	-0.4246	2.1985	-0.243	-1.168	-0.4081	1.581	-0.1975	0.4415	0.2624	-0.9182	0.4037	1.4498	-0.1123	0.0521	-0.9891	0.8988	-1.0086	-0.8419	1.155	1.4764	0.6202	-1.3054	0.1316	0.8509	-2.8422	0.0956	-0.3009	-0.7141	-0.7234	1.5114	-0.7677	0.6316
RPS6KB1|p70S6K	1.016	1.8579	-4.8828	-0.0235	-0.6076	0.4887	0.6689	0.0623	-0.8139	0.1511	-0.5665	-0.3872	0.3305	0.7679	1.4633	-1.0394	-0.3396	-0.1957	-0.3357	0.5648	0.1046	-0.3433	0.1242	1.6214	0.1869	-0.4042	-1.0599	-0.1763	-0.1463	-0.3168	-0.1093	0.0849	0.7459	1.963	0.8808	-0.7329	0.2736	0.129	0.1039	-1.3647	0.0516	0.156	-0.245	-0.298	0.8572	0.1019	-0.115	-0.2527
